	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
PK2-R2	0.6781223750151698	0.41651223421033456	0.7911625229110888	0.488785754192058	-0.18438937330415175	0.852260632759936	-0.9604238221555701	0.5250488622615486
foxo	-0.6926172496742167	-0.8822924821175956	-0.5626672013725919	0.9003526325816191	0.9699111390560159	0.5736744474481572	-0.3360847510216651	0.881251728160732
Pde6	-0.7058320581835974	-0.8908425362131609	-0.5778521023904979	0.8921549578752218	0.9742457045669078	0.5584358797912109	-0.31861780513407845	0.8723643945584095
Hs6st	-0.3425591572408936	-0.03403365510237936	-0.4943979810592292	-0.7872044780954199	-0.20857215801069381	-0.988020894416893	0.9935896823119601	-0.8124475384167682
RhoGAP93B	-0.3627857938853413	-0.055627600719892485	-0.5130705033492629	-0.7736911321102721	-0.18738437990938187	-0.9844545336623172	0.9958009984310873	-0.7996557882528976
Cad99C	0.7667801950952897	0.9281492744351902	0.6490290375426438	-0.8478304598061698	-0.9905984584842432	-0.48143053432026794	0.2319267321869035	-0.8247756052831008
CG11360	-0.992805508357525	-0.9809364480222589	-0.9589476177835797	0.4213380628412496	0.9048674104354607	-0.07460467917715427	0.33622175814190924	0.3828183129555217
PIP4K	0.9704271269784693	0.8475728013756166	0.9970905855688365	-0.07103189471847032	-0.6941509257259341	0.42458415027943774	-0.6493509670129823	-0.02901253693911454
CG11155	-0.9148632841825115	-0.7443559746233672	-0.969374712267857	-0.10056275533119631	0.5608522960145543	-0.5731357178179283	0.769817693886401	-0.14232326759138497
Cals	-0.9054432906556571	-0.9924727186204629	-0.8220035386243143	0.6840259336627946	0.9926423813811398	0.24126897043267218	0.024552447257003576	0.652737561072955
luna	0.9860042099382157	0.8855582732967074	1.0	-0.1468584354758886	-0.7470008918830184	0.35433494782214864	-0.5894929054001012	-0.10512178484456235
tai	-0.9452578875968056	-0.7972855558104021	-0.9864331747158244	-0.01751733830349947	0.6277269124213121	-0.503039906097565	0.7141021371912186	-0.05955812194805395
dlp	0.9692997856497985	0.8451082282116384	0.9967272083342601	-0.06641573263240871	-0.6908127793420633	0.42876891862646566	-0.6528628657597202	-0.024387084634454017
Gdap2	-0.764054129901968	-0.52607157550146	-0.8609206239231039	-0.37678985238921936	0.30488686601760956	-0.7807858359998902	0.9184527554446911	-0.4154190478054028
vir-1	-0.16560825191970682	-0.4635292347448727	0.0011278457533154596	0.9889912574965656	0.6639801101206154	0.9355176129764916	-0.8084378972748408	0.9943401621536162
ham	-0.8962318173090877	-0.989650387650922	-0.8097335031671614	0.6993516486117607	0.9949883408306833	0.26180863914900737	0.003332413933538113	0.6686671896884537
Haspin	-0.17739116343167916	-0.47409353249745584	-0.010832130397962556	0.9906902768792655	0.6728756411462332	0.9312255075023047	-0.8013406984786475	0.9955397045075053
CG30015	0.7319882701922487	0.9073072423141055	0.6081540216986961	-0.8745246322948746	-0.9820407872019316	-0.5268247143927574	0.2827235549303405	-0.8533510184067064
GEFmeso	0.909106603849654	0.9935018997009911	0.8269332909127335	-0.6776454402768194	-0.9915499233296877	-0.2328058441037784	-0.03326020839777535	-0.6461132367340551
CG30377	-0.4151942036430963	-0.6770565086221303	-0.25771219895018904	0.9935926962169108	0.8348777021385465	0.8122154420076876	-0.628568844075694	0.9879594008742564
CG30440	0.6415069533465448	0.37172065898282025	0.7604226607068773	0.5307126027672168	-0.13628137929577513	0.8767369760452062	-0.9728549313754662	0.5658932607834168
Lerp	0.7159800353293155	0.8973052271933961	0.5895683444934985	-0.8855439082819362	-0.9773979402297674	-0.5464078974968216	0.3049072829839267	-0.8652196908754858
